symbol,company,trades,net_pnl,avg_trade_return,win_rate
ADANIPORTS.BO,Adani Ports & SEZ,2,-35.40000000000009,-1.2642857142857178,0.0
ASIANPAINT.BO,Asian Paints,1,93.59999999999991,3.8977263263096473,100.0
AXISBANK.BO,Axis Bank,3,-52.90000000000009,-1.6388691712759584,0.0
BAJAJFINSV.BO,Bajaj Finserv,2,-57.09999999999991,-1.4317953861584742,50.0
BAJFINANCE.BO,Bajaj Finance,2,47.899999999999864,2.6436337546222157,50.0
BEL.BO,Bharat Electronics,1,-10.600000000000023,-2.7207392197125313,0.0
BHARTIARTL.BO,Bharti Airtel,3,-69.0,-1.1899001245742502,0.0
ETERNAL.BO,Eternal,3,-25.55000000000001,-2.542683397385441,33.33333333333333
HCLTECH.BO,HCLTech,5,-208.8000000000004,-2.840005059331765,0.0
HDFCBANK.BO,HDFC Bank,3,-33.79999999999984,-1.1563628316465364,33.33333333333333
HINDUNILVR.BO,Hindustan Unilever,2,-37.90000000000009,-0.7431372549019599,50.0
ICICIBANK.BO,ICICI Bank,2,-15.299999999999955,-0.5379746835443011,50.0
INFY.BO,Infosys,5,-263.6999999999998,-3.4775766513326567,0.0
ITC.BO,ITC,2,-34.849999999999966,-4.1101544993513315,0.0
KOTAKBANK.BO,Kotak Mahindra Bank,3,-81.59999999999991,-1.3679446702948148,0.0
LT.BO,Larsen & Toubro,2,-99.0,-1.3526294042521203,0.0
M&M.BO,Mahindra & Mahindra,4,-434.8000000000002,-3.1597695371273358,0.0
MARUTI.BO,Maruti Suzuki,3,2613.0,6.7754861344882436,33.33333333333333
NTPC.BO,NTPC,4,-19.749999999999943,-1.4547438640507755,25.0
POWERGRID.BO,Power Grid,2,-9.150000000000034,-1.5830449826989668,0.0
RELIANCE.BO,Reliance Industries,4,-114.30000000000018,-2.0281787292695643,0.0
SBIN.BO,State Bank of India,3,-58.80000000000007,-2.3793212729458926,0.0
SUNPHARMA.BO,Sun Pharma,6,-286.9000000000001,-2.883879957011126,0.0
TATAMOTORS.BO,Tata Motors,3,-71.85000000000002,-3.402861455856225,0.0
TATASTEEL.BO,Tata Steel,5,-30.44999999999999,-3.6392315039683787,0.0
TCS.BO,Tata Consultancy Services,5,-318.2999999999997,-2.0041551759701486,20.0
TECHM.BO,Tech Mahindra,5,-70.99999999999955,-0.9337884631222249,20.0
TITAN.BO,Titan Company,3,-53.80000000000018,-0.5154750274418215,33.33333333333333
TRENT.BO,Trent,3,-559.0,-3.35004100447602,33.33333333333333
ULTRACEMCO.BO,UltraTech Cement,3,-5.0,-0.0010863238043371897,66.66666666666666
