Company,TickerYahoo,BseCode,Industry,NseSymbol,ISIN,InstrumentKey,Exchange
Adani Ports & SEZ,ADANIPORTS.BO,532921,Ports,ADANIPORTS,INE742F01042,NSE_EQ|INE742F01042,NSE
Asian Paints,ASIANPAINT.BO,500820,Consumer Durables,ASIANPAINT,INE021A01026,NSE_EQ|INE021A01026,NSE
Axis Bank,AXISBANK.BO,532215,Banks,AXISBANK,INE238A01034,NSE_EQ|INE238A01034,NSE
Bajaj Finance,BAJFINANCE.BO,500034,Finance,BAJFINANCE,INE296A01032,NSE_EQ|INE296A01032,NSE
Bajaj Finserv,BAJAJFINSV.BO,532978,Finance,BAJAJFINSV,INE918I01026,NSE_EQ|INE918I01026,NSE
Bharat Electronics,BEL.BO,500049,Aerospace & Defence,BEL,INE263A01024,NSE_EQ|INE263A01024,NSE
Bharti Airtel,BHARTIARTL.BO,532454,Telecommunication,BHARTIARTL,INE397D01024,NSE_EQ|INE397D01024,NSE
Eternal,ETERNAL.BO,543320,Retailing,ETERNAL,INE758T01015,NSE_EQ|INE758T01015,NSE
HCLTech,HCLTECH.BO,532281,IT,HCLTECH,INE860A01027,NSE_EQ|INE860A01027,NSE
HDFC Bank,HDFCBANK.BO,500180,Banks,HDFCBANK,INE040A01034,NSE_EQ|INE040A01034,NSE
Hindustan Unilever,HINDUNILVR.BO,500696,FMCG,HINDUNILVR,INE030A01027,NSE_EQ|INE030A01027,NSE
ICICI Bank,ICICIBANK.BO,532174,Banks,ICICIBANK,INE090A01021,NSE_EQ|INE090A01021,NSE
Infosys,INFY.BO,500209,IT,INFY,INE009A01021,NSE_EQ|INE009A01021,NSE
ITC,ITC.BO,500875,FMCG,ITC,INE154A01025,NSE_EQ|INE154A01025,NSE
Kotak Mahindra Bank,KOTAKBANK.BO,500247,Banks,KOTAKBANK,INE237A01028,NSE_EQ|INE237A01028,NSE
Larsen & Toubro,LT.BO,500510,Construction,LT,INE018A01030,NSE_EQ|INE018A01030,NSE
Mahindra & Mahindra,M&M.BO,500520,Automobiles,M&M,INE101A01026,NSE_EQ|INE101A01026,NSE
Maruti Suzuki,MARUTI.BO,532500,Automobiles,MARUTI,INE585B01010,NSE_EQ|INE585B01010,NSE
NTPC,NTPC.BO,532555,Power,NTPC,INE733E01010,NSE_EQ|INE733E01010,NSE
Power Grid,POWERGRID.BO,532898,Power,POWERGRID,INE752E01010,NSE_EQ|INE752E01010,NSE
Reliance Industries,RELIANCE.BO,500325,Petroleum,RELIANCE,INE002A01018,NSE_EQ|INE002A01018,NSE
State Bank of India,SBIN.BO,500112,Banks,SBIN,INE062A01020,NSE_EQ|INE062A01020,NSE
Sun Pharma,SUNPHARMA.BO,524715,Pharmaceuticals,SUNPHARMA,INE044A01036,NSE_EQ|INE044A01036,NSE
Tata Consultancy Services,TCS.BO,532540,IT,TCS,INE467B01029,NSE_EQ|INE467B01029,NSE
Tata Motors,TATAMOTORS.BO,500570,Automobiles,TATAMOTORS,INE155A01022,NSE_EQ|INE155A01022,NSE
Tata Steel,TATASTEEL.BO,500470,Metals,TATASTEEL,INE081A01020,NSE_EQ|INE081A01020,NSE
Tech Mahindra,TECHM.BO,532755,IT,TECHM,INE669C01036,NSE_EQ|INE669C01036,NSE
Titan Company,TITAN.BO,500114,Consumer Durables,TITAN,INE280A01028,NSE_EQ|INE280A01028,NSE
Trent,TRENT.BO,500251,Retailing,TRENT,INE849A01020,NSE_EQ|INE849A01020,NSE
UltraTech Cement,ULTRACEMCO.BO,532538,Cement,ULTRACEMCO,INE481G01011,NSE_EQ|INE481G01011,NSE
