Symbol,Company,Sector
AAPL,Apple Inc.,Technology
MSFT,Microsoft Corporation,Technology
GOOGL,Alphabet Inc. Class A,Technology
AMZN,Amazon.com Inc.,Consumer Cyclical
NVDA,NVIDIA Corporation,Technology
META,Meta Platforms Inc.,Technology
TSLA,Tesla Inc.,Consumer Cyclical
BRK.B,Berkshire Hathaway Inc. Class B,Financial Services
UNH,UnitedHealth Group Incorporated,Healthcare
XOM,Exxon Mobil Corporation,Energy
JPM,JPMorgan Chase & Co.,Financial Services
JNJ,Johnson & Johnson,Healthcare
V,Visa Inc.,Financial Services
PG,Procter & Gamble Company,Consumer Defensive
MA,Mastercard Incorporated,Financial Services
HD,Home Depot Inc.,Consumer Cyclical
CVX,Chevron Corporation,Energy
ABBV,AbbVie Inc.,Healthcare
MRK,Merck & Co. Inc.,Healthcare
COST,Costco Wholesale Corporation,Consumer Defensive
PEP,PepsiCo Inc.,Consumer Defensive
AVGO,Broadcom Inc.,Technology
KO,Coca-Cola Company,Consumer Defensive
ADBE,Adobe Inc.,Technology
MCD,McDonald's Corporation,Consumer Cyclical
CSCO,Cisco Systems Inc.,Technology
TMO,Thermo Fisher Scientific Inc.,Healthcare
ACN,Accenture plc,Technology
WMT,Walmart Inc.,Consumer Defensive
ABT,Abbott Laboratories,Healthcare
NFLX,Netflix Inc.,Communication Services
LLY,Eli Lilly and Company,Healthcare
DIS,Walt Disney Company,Communication Services
CRM,Salesforce Inc.,Technology
VZ,Verizon Communications Inc.,Communication Services
CMCSA,Comcast Corporation,Communication Services
DHR,Danaher Corporation,Healthcare
INTC,Intel Corporation,Technology
TXN,Texas Instruments Incorporated,Technology
NKE,NIKE Inc.,Consumer Cyclical
ORCL,Oracle Corporation,Technology
AMD,Advanced Micro Devices Inc.,Technology
QCOM,QUALCOMM Incorporated,Technology
PM,Philip Morris International Inc.,Consumer Defensive
UPS,United Parcel Service Inc.,Industrials
BA,Boeing Company,Industrials
HON,Honeywell International Inc.,Industrials
CAT,Caterpillar Inc.,Industrials
GE,General Electric Company,Industrials
IBM,International Business Machines Corporation,Technology
